"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"GSM5398358",-0.0227694629987974,0.499986000797403,0.100814415611627,0.0971129786250035,0.320229135231452,0.345537899282572,0.084365745864215,-0.236575064432544,0.160177326896224,-0.0507718940769213,-0.225364756090114,0.069576725127954,0.0263424155384669,-0.217342260988946,0.15074402932946,0.146846727085321,-0.0318212814779825,0.164517079249545,-0.266221283549137,-0.277889198529933,0.294478204456437,-0.422894922757416,-0.0814463875147872,0.0191692072858173,0.0409101701512395,0.242090183794821,-0.0119345713340803,0.173322871633324,-0.243173599227481,0.3509354352897
"GSM5398359",0.370149696236922,0.367435471057262,0.242691196298994,-0.148313691311759,0.185210983377937,0.492449679974106,0.215219368779639,0.133712952960453,0.228506503356997,0.364357632222883,0.115029201706368,-0.274272970194853,0.367515489995786,0.229878910931003,0.315624641544882,0.14494150070684,-0.153030313470853,0.0581196371721693,0.248340977102231,-0.186389810471198,0.286282890930781,-0.333201253640315,-0.184241112084707,0.0658818611738826,-0.209294226915498,0.253640009299869,-0.141580576384742,0.180133959703986,-0.256713685060623,0.401984206389588
"GSM5398360",0.429390435554765,0.533149828415429,0.182148259735739,0.232666524013678,0.112065941180956,0.57238165236987,-0.109888024344859,0.369806625162862,0.395680604954112,0.432639821757814,0.0957767206525607,-0.107911110961729,0.138601054691417,-0.0341802931566136,0.144126646597333,0.363812837562952,0.230773281628226,0.179984670808528,0.280558434495328,0.409700248385626,-0.037328283075715,0.0791204261278462,0.247292901426367,0.192402346564677,0.361074062432837,0.395957959620544,0.33446851751453,0.311482793510426,0.175868084130197,0.392838384781901
"GSM5398361",-0.42301877625539,-0.0801152029175589,-0.469702257588105,-0.262967170717602,-0.453723186571237,-0.447247759663053,-0.128097252121615,-0.158105612212129,-0.0418220500131175,-0.244344510826529,-0.459210007019247,-0.125344342258018,-0.500550977132785,-0.37654835450373,-0.378267178611389,0.0550612239017527,-0.527287476979907,-0.396584678632983,-0.351864107854976,-0.470298913576957,0.0436276483153882,-0.270141434990531,-0.533021494609151,-0.408086133736155,-0.3786965641907,-0.481784411040263,-0.442620696073181,-0.418592752155544,-0.531776861923454,-0.170818094671963
"GSM5398362",-0.604048394333396,-0.544416060685464,-0.484791067420202,-0.386740644209417,-0.306379566938877,-0.341563054292527,-0.00311613363206123,-0.486966591800223,-0.517817621106988,-0.302815494558648,-0.400331542678946,0.16396048712578,0.024043796271834,-0.0898398817964848,-0.0983102062018618,-0.420364694087941,-0.523132007339127,-0.324709316060267,-0.258003647574415,-0.605321331353532,-0.245861146877481,-0.405348210451753,-0.49871716337711,-0.478187409616109,-0.418614973529958,-0.502059168939382,-0.493799872500667,-0.524323086516308,-0.475457387498559,-0.0366238837077048
"GSM5398363",-0.46121304655939,-0.696052123838934,-0.491550265311481,-0.509039337671544,-0.479857016529193,-0.52590459403735,0.00813934026449586,-0.648352625674702,-0.498715769617402,-0.611053697848322,-0.489883157772824,-0.160362141712646,-0.209509939003548,-0.11478542933535,-0.418165605109304,-0.482812574744024,-0.64872960589538,-0.327487045213329,-0.22596487794106,-0.605553261770994,-0.307763737593341,-0.564238340669321,-0.690764242312928,-0.71029593227896,-0.634896132976483,-0.64874111086058,-0.677483558330556,-0.70106219310918,-0.602346326016691,-0.181773075228844
"GSM5398364",0.588422418871465,0.493056047837328,0.68384833398465,0.714155909301646,0.695306960996143,0.53629957049095,0.0617857299468587,0.579338829900164,0.519642802126735,0.335507683035137,0.260480015178989,0.294539479883947,-0.043149697407779,0.357138452719972,0.0728433968324866,0.124059108622822,0.676771436572824,0.294503401007804,0.252901825892149,0.617193523601498,0.399377635282205,0.473221634011757,0.717756620463577,0.714055852018547,0.487548462674986,0.762808061029589,0.583420475923344,0.700306436868386,0.24572850526262,0.273851744109133
"GSM5398365",0.0959328856312686,0.213484347664356,0.42358447352617,0.475749723109928,0.322539407354265,-0.24406115623617,0.244307446261405,0.444629407975906,0.401321785019114,0.132877476119122,0.515543960522639,-0.16352493561758,0.160252815911528,0.467701048333987,0.360004583392664,0.330880354580924,0.451417804948947,0.241971661427434,0.469934510741135,0.483207795133876,0.276899061964263,0.530445017609569,0.487469944172524,0.601172487040835,0.331561957304137,0.544522013917348,0.391595462405929,0.562324966045608,0.467937955267547,0.125870650802914
"GSM5398366",0.214547295283404,0.254283986911727,0.381274813494455,0.027742762691708,0.340396522194974,0.267224047109614,0.0330877384531461,0.559038423432152,0.318860549343802,0.515054053569443,0.261619494607963,-0.0232415520381988,0.354105037408741,-0.106219082269663,0.247746885336154,0.259003779947472,0.364397529927773,0.1443835119227,-0.240351846714828,0.471846852543541,-0.24392076101011,0.364093489463168,0.492037073909804,0.366352685313985,0.487167338509613,0.330438954770131,0.461322395570026,0.356663961276635,0.258561291603544,0.154308691337281
"GSM5398367",0.225517202427149,-0.376107695926979,0.072199781073043,-0.238428201743548,-0.380744199211075,-0.413938054209201,-0.14725668075527,-0.234839355987788,-0.229237196228095,-0.20860186392279,0.191781072577679,0.100904417578678,0.115772056590284,0.0184061980504974,-0.270628930216478,-0.0567173866423097,0.172276980056101,-0.036737788653375,-0.00822783404143324,0.370569598082865,-0.0872712007957863,0.242901893144537,0.232307452041433,-0.241324381149832,0.31053906600518,-0.167802942993071,0.287425278867141,-0.207648524560053,0.391382407058109,-0.362567574374642
