"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"M21",0.268919686663312,0.0408648275817848,-0.582832953607735,-0.172687028891481,0.416474929874762,0.131738932786873,-0.242195385715249,0.278918618266877,0.18664248783409,-0.410963162866255,-0.441246699250937,-0.276113056804966,-0.490670884081677,-0.397449788580081,0.146744049837594,0.185928822129565,-0.0833949823959698,-0.357796165507094,-0.567174743198541,-0.0101762255326508,-0.20729868503395,-0.245215532032288,0.148827338922922,-0.381400163990291,-0.402324445604166,-0.476488429567831,-0.754720905995044,-0.320183065231078,-0.767278228875344,-0.423609131561125,-0.74025949798636,-0.0432585281960768,-0.0664956158018039
"M22",0.0782478160248379,0.524484276461584,-0.167958685882499,0.271046409232629,0.6266499313639,0.516619739046221,-0.154229248856573,0.304296512917375,-0.0754630431808541,-0.312021279900232,-0.116233357250642,-0.318263813523532,-0.231808946783657,0.273247655327706,-0.234411767890952,-0.00727752787478092,0.0575529573004533,-0.397619548901366,-0.465045591197697,-0.250199945312191,-0.200233656124969,-0.382506559474823,0.129017360798225,-0.229269205571592,-0.392135600444523,-0.412140637148654,-0.305549509387746,-0.345522017893485,0.222889961502609,-0.40780231777159,-0.153394771901279,-0.280736706791092,-0.209711199403231
"M23",0.451165792247705,0.635933696487369,0.380898577467199,0.216386183125369,0.342813880644476,0.349762785419028,-0.0513949265301269,0.527132294692471,0.0783892162521876,-0.22219685550172,0.174799636005157,-0.190652333708465,0.320904348754329,-0.171701730319419,-0.219631810902114,0.0209876502492539,-0.237788569582338,-0.217644119560919,0.025343659368288,-0.150164753572681,0.0327142164667096,0.5085673155236,0.104652947045842,0.430163157766122,0.262064051676188,-0.083748159481445,0.302151106281995,0.0961855603356509,0.280843160439943,0.107082240432923,0.339733739911788,0.365405858586304,0.320312667749575
"M24",-0.176818119345489,-0.162002211423219,0.411638930138416,0.19245990606147,-0.421796446370739,-0.00941058255101929,0.171485900360686,-0.191956764562396,0.0556512720250553,-0.0403078059588119,0.132736238040652,0.02741054315422,-0.0388515593274092,-0.03274448320119,-0.131901557116418,-0.0485309078287136,0.286342417398054,0.0787346629535327,0.244620211562542,0.0155028633695443,0.0571639856489279,-0.152464008363427,-0.269707944671306,-0.0760519264807821,0.482390090945876,0.40606515127415,0.503679162657458,-0.00894484477256954,0.0800950834431091,0.18245290423692,0.420770975424935,0.0923192541693208,-0.217342952266889
"M25",-0.542190405984469,-0.785293593454351,-0.418214430045299,-0.493921454982957,-0.280043676554563,-0.561137353230625,0.2723365513778,-0.470893631347323,0.248417898851011,-0.0956568214381951,-0.340229762716333,-0.0102533624327312,-0.497514809774536,0.128309586626559,-0.0256545095349694,0.122938519842396,-0.0586623031979504,0.258999709677078,-0.211882755829631,0.234629642557695,0.25573251415208,-0.348679018469783,-0.188643052650912,-0.37528646685254,0.00447184406584644,0.273623209668033,-0.565959404455319,0.116965548598946,-0.641775696371621,0.0185080931833189,-0.55892911559664,0.0473495759456973,-0.0765936173607913
"M26",0.0811446528157714,-0.222104989294029,-0.205183729146994,-0.254330593053382,-0.341801933525745,-0.330957691269912,-0.0508196592882996,-0.268644049953492,0.123349453079445,0.209693194779067,0.165873629047329,0.358858523417678,0.241943879479511,0.141426033355225,0.401428514673123,0.289459011647192,0.199001588973499,0.492414814494549,0.312257859963975,0.505786954752848,0.467850749483355,0.345054481719862,-0.00973792039177496,-0.180987871796323,0.146873279725162,0.367392870970968,0.320191265838791,0.345748142264517,-0.172617045749967,0.346731759847166,0.17460904215156,0.283341402264998,0.152638492579575
"M27",-0.0225606787034516,0.00713850519037115,-0.4371090588724,-0.0361195461083657,0.198403987596481,-0.147734267357685,-0.130163591542458,-0.0877415638696865,-0.0591714708839494,0.112934274025722,-0.222211633349923,0.191118055364142,-0.351440396276447,0.140856840347473,0.51112391195537,0.427201824819329,0.00524029420843142,0.483693660093367,-0.108941638261857,0.341226582153463,0.382361775028873,0.00736381192792102,-0.269976041106715,-0.338801367463985,0.290628768031241,0.209671765299523,-0.133258550630525,0.100618679327339,-0.344889385241503,0.0715631406458404,-0.235054957252912,0.32346764962295,-0.0351472501760987
"M29",-0.294446076225936,-0.304099716772096,0.424688312538072,-0.2354538717598,-0.258609328998484,-0.136752922886677,0.404472698744053,-0.398699880926308,-0.0450529088574184,0.183169324432535,0.0458354191974166,0.425902677658477,0.21890757371647,0.103974448768747,0.129707732772661,0.0587219543839418,0.432338246685314,0.247821569810961,0.51835462123967,0.405643389723209,0.348606878495237,0.459319815910557,-0.340298858723999,-0.21509826547037,0.36766640791979,0.483213502077572,0.32620612001617,0.0800115628430119,0.291637942973435,0.244751480109508,0.350771506046851,-0.00339951832793831,-0.124579040526389
"M30",-0.301312527409995,-0.342740118963859,0.0598835532968872,-0.322648002769917,-0.237017763316517,-0.400625105284647,-0.114623335481021,-0.396428669330132,0.062110899464791,-0.357853930821035,-0.275398249427518,-0.0306350839856727,-0.254497249886035,-0.00993708986668032,-0.222211994851423,0.000208566509546093,-0.108283015582151,-0.0903407280198339,-0.434039575796147,-0.322249611774883,-0.263036747461665,-0.195366965118892,-0.325926077913233,-0.463924474676744,0.118283486974462,0.0574829285456162,-0.507303853548963,-0.212142798858115,-0.444389384841226,-0.198907295602781,-0.455675358210218,-0.0105393372129282,-0.285532093633005
"M31",0.627909669246675,0.686069695297898,0.64185638106321,0.627184987209508,0.648928494953714,0.507065760074932,0.169389473089689,0.632247788284129,0.211195132482919,0.450630527252208,0.471146330377253,-0.0188916300316784,0.506340889919236,0.0907772183179134,-0.343893302115915,-0.165570390907856,-0.0628935536473722,-0.0690571179947941,0.234764701368332,-0.288256622273256,-0.441557853934534,0.152639531172157,0.170653562167071,0.131356472660847,-0.438870362039894,-0.0445611983219245,0.545847901593438,0.181202097192082,0.578106975170717,0.0437376575986458,0.58489747934283,0.353278260117817,0.182964304707218
"M32",-0.49874082292334,-0.288576212843789,-0.0941813805449206,-0.299487786971527,-0.432018063998626,-0.127192764921861,0.298060982707649,-0.374590742046908,0.130585190963432,0.0335938956545351,0.250826048856904,-0.31197950799293,-0.212371061920505,-0.246523562503464,-0.130745861167544,0.139314680415129,0.0681875632744326,0.155876623338034,0.288630314547781,-0.163192915038595,-0.211490762774714,0.245848807034846,-0.0254027019810827,0.260826877364568,0.327056922936414,0.148102250701401,0.455407216553966,0.0740349512689635,0.415824997348453,0.280760983640687,0.451928358937486,-0.216493375597345,0.0155547708437442
"M33",-0.0450094690085769,-0.212244709132647,0.104438848895285,-0.356183139700791,-0.152010251040289,-0.402075238393246,0.00759110261270957,-0.331184609180158,-0.08770239978324,-0.0740797188761324,-0.0802849710778424,0.0143635361635716,0.301748111704865,-0.308591823700486,0.409579350064724,-0.0193024123813383,-0.105436083943346,-0.639970813133511,-0.320453587040108,-0.117813812268206,-0.363473680407284,-0.480511259399121,-0.149723237318111,0.218304023265689,-0.000632570900477913,-0.327806904725837,-0.333047119655583,-0.104952546532717,0.101538789201845,-0.190395716859055,-0.23457785999188,0.128868131766124,-0.099940509603946
"M34",-0.0902955437480777,0.0789653479173223,0.204344490466313,0.236598687403443,-0.348726026629793,-0.0774635151822264,0.190957624550486,0.0135504761071891,-0.0259953338540178,0.41281599988259,0.301043992663587,0.193467609207632,0.427041996155391,-0.181118784113602,0.195737897929309,-0.228701008242003,0.132778421156258,0.441898132055045,0.354505118394616,0.494740456679055,0.315620531386544,0.301789142722095,-0.0906431307693527,0.453629294550999,0.350550871954476,0.273451019073498,0.564840561002141,0.177367432927486,0.311592818332097,0.286631060732684,0.509752039045494,0.19318932062489,-0.0529593647125929
"M35",-0.0568620769103857,-0.240279563082344,0.00156968795248436,-0.0999449464215353,-0.358681430363384,0.0184387689044354,-0.19000640531468,-0.103745860553724,-0.363027547334505,0.344415635503995,0.113268161769103,0.00944700137556001,0.33408156135969,0.218219612073325,0.272174606965393,-0.139572230511053,0.230352951541023,0.276975182376294,0.460904258956942,-0.141140828259251,-0.026076545096782,0.0633649997443295,0.316593018996469,0.501205571769169,0.197432619821301,0.0904811542137775,0.357944871564939,0.247283836953943,0.502582018378011,0.271186193604366,0.356789682362334,-0.28542505428224,-0.0228193386555468
"M36",-0.16295852606047,0.011956263755954,0.00782555153288544,0.0492418891345301,0.106652498283239,0.109349563048702,-0.252663274346429,0.196712523654011,-0.297401714918298,-0.397173881596675,-0.363944958787174,-0.00660577510856514,-0.0466394656375738,-0.0843645473762948,-0.291716167786484,-0.359308721341689,-0.327887134350886,-0.315855105663918,-0.303819339157968,-0.43075087947507,-0.343695245211317,-0.0881815731365134,0.10655271530727,-0.22237936069648,-0.579663569796186,-0.4417414363958,-0.327467327382986,-0.295352064974636,-0.335364671684404,-0.346642836137093,-0.401313944548571,-0.500409601355919,-0.116153344010034
"M37",-0.370028531874766,-0.367980139519768,-0.155576470698637,-0.373511562928297,-0.28357316169162,-0.311166998834186,-0.443095287019688,-0.273599523502871,-0.366752745608043,-0.531022447398857,-0.360292957988116,-0.13801685444038,-0.141638363172406,-0.360776712475759,-0.351602538459424,-0.258690926793448,-0.283590109810366,-0.313657778594881,-0.234238410911921,-0.405571990846299,-0.0214307819982563,-0.374088296775707,0.145688500838096,-0.25914905694682,-0.272673891406403,-0.305629566771029,-0.375228233043471,-0.196257301461649,-0.285160482779269,-0.223830345633854,-0.347395331270567,-0.377940183700758,0.0856747721659153
