"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"REACTOME_HS_GAG_BIOSYNTHESIS",0.418674698795181,0.715505986795479,0.0736212741014394,0.321487305687907,1.02809649509559,31,"reactome","Sdc2; Ext1; Gpc5; Hs6st3; Ndst2; Hs3st1; Ext2; Gpc4; Ndst4; Hs2st1; Hs3st2; Hspg2; Gpc3; Sdc1; Hs3st3a1; Ndst3; Gpc6","skin","MHU-2_femoral","GLDS-239"
"REACTOME_HS_GAG_DEGRADATION",0.0040598591634243,0.0403791397875714,0.407017918923954,0.579798691255295,1.71288397126937,23,"reactome","Ids; Sdc2; Naglu; Glb1l2; Gpc5; Glb1; Hpse2; Gusb","skin","MHU-2_femoral","GLDS-239"
"REACTOME_HYALURONAN_METABOLISM",0.0158675005635182,0.102115988525574,0.352487857583619,0.608117357081282,1.70271433135655,17,"reactome","Hyal1; Hmmr; Cemip; Cd44; Hexb; Hexa; Has2; Slc9a1; Gusb; Hyal3; Has3","skin","MHU-2_femoral","GLDS-239"
"REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1",0.621451104100946,0.866675947839807,0.0566484183613995,0.301172332203151,0.889745472352993,23,"reactome","Ube2d2a; Ticam1; Traf6; Rps27a; Ticam2; Ube2d3; Ly96; Uba52","skin","MHU-2_femoral","GLDS-239"
"REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS",0.757731958762887,0.956041237113402,0.0707899094502623,-0.270659482845008,-0.794741201204194,16,"reactome","Ctf1; Osm; Il31ra; Osmr; Tyk2; Clcf1; Il6st","skin","MHU-2_femoral","GLDS-239"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.000185973709101932,0.00285159687289629,0.518848077743792,-0.359112925613899,-1.68507822444859,129,"reactome","Igkv8-30; Slamf6; Pvr; Treml4; Cd40lg; Cd19; Cd22; Treml2; Ifitm1; Iglc2; Sell; Cd300lg; Cd8a; Cd96; Cd300a; Klrc1; Kir3dl2; Trem1; Cd8b1; Oscar; Itgal; Fcgr4; Cd300c; Igkv1-117; Sh2d1a; Siglecg; H2-T23; Cd3d; Cd160; H2-M2; Icam2; Igkv8-21; Igkv12-44; Vcam1; Cd3e; Iglc3; Igkv14-111; Igkv1-135; Mill2; Igkv2-109; Cd247; Cd300lf; Ncr1; Igkv17-121; Igkv1-110; Madcam1; Cd3g; Cd226; Igkv9-120; H2-D1; Siglecf; Igkv17-127; Klrd1; Trav16; Iglc1; Jaml; Ighv5-9","skin","MHU-2_femoral","GLDS-239"
"REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING",0.948837209302326,1,0.0363783055518278,0.206986953668106,0.625025363667401,25,"reactome","Ube2d2a; Rps27a; Ube2d3; Stat3; Uba52","skin","MHU-2_femoral","GLDS-239"
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION",0.516129032258065,0.786961655172414,0.0665892104103933,0.338027117928183,0.958278586465975,19,"reactome","Gng13; Pcsk1; Dpp4; Spcs1; Gnb1; Sec11c; Spcs3","skin","MHU-2_femoral","GLDS-239"
"REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS",0.615030674846626,0.860575240850031,0.055826471778749,0.294132127028015,0.905132410118541,27,"reactome","Eno1; Mrc1; Rab5a; Rps27a; Mapk1; Rab7; Uba52","skin","MHU-2_femoral","GLDS-239"
"REACTOME_INFLAMMASOMES",0.549071618037135,0.815848003113052,0.0894366833718621,-0.291935051260251,-0.940600076358092,21,"reactome","Txnip; Bcl2; Nfkb2; Bcl2l1; Nfkb1","skin","MHU-2_femoral","GLDS-239"
