,RR-1,RR-3,RR-6,RR-8,RR-9,MHU-2
RR-1,1.0,0.06328600106130235,0.03653246500975712,0.05662614629133401,0.5292578818589984,0.27481390140767087
RR-3,0.06328600106130235,1.0,0.4287809515377118,0.09516995647791034,0.9411648219534628,0.1375712082216382
RR-6,0.03653246500975712,0.4287809515377118,1.0,0.0022728733450599454,0.7213301536391761,0.0009778905402672538
RR-8,0.05662614629133401,0.09516995647791034,0.0022728733450599454,1.0,0.677606334549844,0.2838032094763421
RR-9,0.5292578818589984,0.9411648219534628,0.7213301536391761,0.677606334549844,1.0,0.8949331404691206
MHU-2,0.27481390140767087,0.1375712082216382,0.0009778905402672538,0.2838032094763421,0.8949331404691206,1.0
