,RR-6,MHU-1,MHU-2,RR-9
RR-6,1.0,0.00023312994555186334,0.000262467963295339,1.1062637574695972e-06
MHU-1,0.00023312994555186334,1.0,1.3854357704601402e-70,2.995296740172143e-10
MHU-2,0.000262467963295339,1.3854357704601402e-70,1.0,3.7535070834907076e-10
RR-9,1.1062637574695972e-06,2.995296740172143e-10,3.7535070834907076e-10,1.0
