,RR-1,RR-3,OSD-397
RR-1,1.0,0.053601632386617956,5.939865485859998e-06
RR-3,0.053601632386617956,1.0,0.3776123901058385
OSD-397,5.939865485859998e-06,0.3776123901058385,1.0
