,RR-6,MHU-1,MHU-2,RR-9
RR-6,1.0,0.49800720288115247,0.49445378151260505,0.6269867947178872
MHU-1,0.49800720288115247,1.0,0.999327731092437,0.7523169267707083
MHU-2,0.49445378151260505,0.999327731092437,1.0,0.7496278511404562
RR-9,0.6269867947178872,0.7523169267707083,0.7496278511404562,1.0
