figure_table_id,package_id,candidate_id,fold_label,display_fold,feature_rank_in_fold,feature_id,selection_frequency,display_selection_frequency,reference_coefficient,coefficient_direction,stability_tier,appendix_note
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,1,AT1G54970,1.00,100%,0.4563,positive_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,2,AT2G30660,0.95,95%,0.7953,positive_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,3,AT1G16440,0.95,95%,0.6828,positive_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,4,AT1G71380,0.95,95%,-0.4680,negative_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,5,AT5G52700,0.95,95%,0.2214,positive_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,6,AT2G26400,0.90,90%,0.6261,positive_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,7,AT5G48010,0.80,80%,-0.2789,negative_LEO_or_ISS,stable_ge_0_8,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,8,AT1G01060,0.65,65%,-0.2790,negative_LEO_or_ISS,stable_ge_0_5,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,9,AT1G62400,0.65,65%,-0.0959,negative_LEO_or_ISS,stable_ge_0_5,Sparse-model feature evidence only; not a validated biomarker claim.
osd120_sparse_l1_c1_focus_table_stable_feature_appendix,osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,diagnostic_col0_phyd_dark,Condition stratum: Col.0.PhyD | Dark,10,AT1G52130,0.50,50%,0.1766,positive_LEO_or_ISS,stable_ge_0_5,Sparse-model feature evidence only; not a validated biomarker claim.
