slide_id,check,status,severity,detail
b4_train_only_guard,manifest_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_scenes/b4_train_only_guard/manifest.json
b4_train_only_guard,overlay_spec_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_scenes/b4_train_only_guard/overlay_spec.json
b4_train_only_guard,qa_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_scenes/b4_train_only_guard/qa.json
b4_train_only_guard,manifest_field_slide_id,PASS,error,'b4_train_only_guard'
b4_train_only_guard,manifest_field_created,PASS,error,'2026-06-01'
b4_train_only_guard,manifest_field_stage,PASS,error,'post_render'
b4_train_only_guard,manifest_field_content_brief,PASS,error,'docs/VISUAL_BRIDGE_CONTENT_BRIEFS_B1_B4_2026_06_01.md'
b4_train_only_guard,manifest_field_evidence_sources,PASS,error,"[{'path': 'docs/VISUAL_BRIDGE_CONTENT_BRIEFS_B1_B4_2026_06_01.md', 'role': 'B4 content brief and production gate'}, {'path': 'docs/VISUAL_METHODS_EXPLANATION_GAP_MAP_2026_06_01.md', 'role': 'viewer confusion map for leakage prevention'}, {'path': 'docs/VISUAL_METHODS_STORYBOARD_2026_06_01.md', 'role': 'methods sequence and bridge role'}, {'path': 'docs/VISUAL_METHODS_EXPLAINER_PILOT_2026_06_01.md', 'role': 'first methods explainer review and text simplification record'}, {'path': 'output/premium_methods_scenes/methods_data_to_evaluation_overview_manifest.json', 'role': 'current methods overview artifact manifest'}]"
b4_train_only_guard,manifest_field_claim_boundary,PASS,error,"'feature selection, scaling, and model fitting are learned from training missions only'"
b4_train_only_guard,manifest_field_generator,PASS,error,'scripts/build_visual_bridge_scene_contracts.py'
b4_train_only_guard,manifest_field_outputs,PASS,error,"{'scene_plate': 'output/premium_bridge_scenes/b4_train_only_guard/scene_plate.png', 'rendered_preview_png': 'output/premium_bridge_scenes/b4_train_only_guard/rendered_preview.png', 'rendered_preview_pdf': 'output/premium_bridge_scenes/b4_train_only_guard/rendered_preview.pdf', 'overlay_spec': 'output/premium_bridge_scenes/b4_train_only_guard/overlay_spec.json', 'manifest': 'output/premium_bridge_scenes/b4_train_only_guard/manifest.json', 'qa': 'output/premium_bridge_scenes/b4_train_only_guard/qa.json'}"
b4_train_only_guard,overlay_field_slide_id,PASS,error,'b4_train_only_guard'
b4_train_only_guard,overlay_field_canvas,PASS,error,"{'width_px': 3840, 'height_px': 2160, 'aspect_ratio': '16:9'}"
b4_train_only_guard,overlay_field_coordinate_system,PASS,error,'normalized_0_1'
b4_train_only_guard,overlay_field_text,PASS,error,"[{'id': 'headline', 'role': 'decision_headline', 'content': 'Feature processing stays on the training side', 'x': 0.065, 'y': 0.135, 'font_pt': 27, 'color': 'ink', 'max_lines': 2, 'z': 'Z3'}, {'id': 'choose_features', 'role': 'process_verb', 'content': 'choose features', 'x': 0.355, 'y': 0.47, 'font_pt': 9.0, 'color': 'blue', 'max_lines': 1, 'z': 'Z3'}, {'id': 'scale', 'role': 'process_verb', 'content': 'scale', 'x': 0.505, 'y': 0.47, 'font_pt': 9.0, 'color': 'teal', 'max_lines': 1, 'z': 'Z3'}, {'id': 'fit_model', 'role': 'process_verb', 'content': 'fit model', 'x': 0.65, 'y': 0.47, 'font_pt': 9.0, 'color': 'purple', 'max_lines': 1, 'z': 'Z3'}, {'id': 'score_hidden', 'role': 'process_verb', 'content': 'score hidden mission', 'x': 0.805, 'y': 0.61, 'font_pt': 9.0, 'color': 'red', 'max_lines': 1, 'z': 'Z3'}]"
b4_train_only_guard,overlay_field_status_labels,PASS,error,"[{'id': 'scope', 'role': 'claim_boundary', 'content': 'train-only processing', 'x': 0.065, 'y': 0.865, 'font_pt': 7.8, 'color': 'muted', 'z': 'Z4'}, {'id': 'caveat', 'role': 'trust_caveat', 'content': 'Feature choices are learned before scoring.', 'x': 0.065, 'y': 0.9, 'font_pt': 7.4, 'color': 'muted', 'z': 'Z4'}]"
b4_train_only_guard,overlay_field_focus_marks,PASS,error,"[{'id': 'train_test_guard', 'role': 'guard', 'shape': 'vertical_rule', 'x': 0.73, 'y0': 0.335, 'y1': 0.705, 'color': 'red', 'z': 'Z5'}]"
b4_train_only_guard,overlay_field_forbidden_visible_terms,PASS,error,"['LOMO', 'payload', 'artifact', 'macro-F1', '/Users/', 'sklearn', 'StandardScaler', 'fit_transform']"
b4_train_only_guard,slide_id_match_overlay,PASS,error,b4_train_only_guard vs b4_train_only_guard
b4_train_only_guard,slide_id_match_qa,PASS,error,b4_train_only_guard vs b4_train_only_guard
b4_train_only_guard,stage_match_qa,PASS,error,post_render vs post_render
b4_train_only_guard,canvas_width,PASS,error,3840
b4_train_only_guard,canvas_height,PASS,error,2160
b4_train_only_guard,canvas_aspect,PASS,error,16:9
b4_train_only_guard,coordinate_system,PASS,error,normalized_0_1
b4_train_only_guard,path_exists_content_brief,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/docs/VISUAL_BRIDGE_CONTENT_BRIEFS_B1_B4_2026_06_01.md
