task_id,legacy_task_id,task_family,tissue,organism,material_type,model_system,assay_modality,feature_namespace,variant,n_missions,n_folds,missions,n_sources,source_ids,metric_ids,manifest_schema_version
draft_osd207_drosophila_whole_body_spaceflight,,multispecies_species_native_spaceflight,,Drosophila melanogaster,whole_organism_or_tissue,drosophila_spaceflight,bulk_rna_seq,species_gene_ids_pending,drosophila_whole_body,,,,1,OSD-207,balanced_accuracy;auroc;calibration_error;condition_stratum_holdout_delta,0.1.0
draft_osd37_arabidopsis_seedling_spaceflight,,multispecies_species_native_spaceflight,,Arabidopsis thaliana,plant_tissue,arabidopsis_spaceflight,bulk_rna_seq,species_gene_ids_pending,arabidopsis_seedling_pool,,,,1,OSD-37,balanced_accuracy;auroc;calibration_error;condition_stratum_holdout_delta,0.1.0
