pathway,pval,padj,log2err,ES,NES,size,leadingEdge_str,tissue,mission,species,ranking_metric,n_ranked_genes
HALLMARK_PROTEIN_SECRETION,0.162530413625304,0.413916146297948,0.0367473484524694,-0.36711706585444,-1.23115190347576,58,CLCN3; ADAM10; SGMS1; DNM1L; GNAS; SNAP23; TMED2; M6PR; VAMP3; IGF2R; CD63; STX12; ATP1A1; STAM; SOD1; ARF1; STX7; AP1G1; ARFGEF1; GOLGA4; AP2M1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.326459560792716,0.626802356722014,0.0254119747951087,-0.368441342334724,-1.10454452889477,31,PRDX6; NDUFA6; PDLIM1; PFKP; PRDX2; ABCC1; CDKN2D; SOD2; GPX4; SOD1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_SPERMATOGENESIS,0.928060466999595,0.997828447339848,0.00972605113768028,-0.21985249891264,-0.650834852434303,29,ACRBP; JAM3; VDAC3; PIAS2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_TGF_BETA_SIGNALING,0.56739041376485,0.827214763771732,0.0359890212673894,0.249618300812932,0.927367404985758,34,TJP1; WWTR1; SPTBN1; NCOR2; ID2; JUNB; SKIL; SMURF1; CTNNB1; MAP3K7; HDAC1; PPP1R15A; SMAD3; IFNGR2; SKI; CDKN1C,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.00240683162994456,0.0288819795593347,0.431707695803346,0.350648346461916,1.58471825912094,86,RHOB; NAMPT; DUSP1; KLF4; EGR1; MARCKS; CEBPD; BTG2; TNFAIP3; NFKBIA; FOS; BHLHE40; CEBPB; REL; CCND1; PTPRE; DENND5A; FOSL2; ID2; JUNB; IER5; BCL2A1; IER2; RELB; BCL6; ZFP36; NFKB2; BTG1; PFKFB3; KDM6B; KLF2; PDE4B; ETS2; MCL1; PPP1R15A; TNIP2; PNRC1; SMAD3; TNFAIP2; IFNGR2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.996257018091079,0.997828447339848,0.033099561009158,0.14577293807731,0.622552499597662,66,DDIT4; FUS; CEBPB; EIF4A3; SHC1; NOP14; IARS1; KHSRP; NOLC1; SLC7A5; NOP56; DCTN1; SDAD1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_UV_RESPONSE_DN,0.0713180140492916,0.311205879487818,0.0571796738976665,-0.391245387391752,-1.34014781166988,66,ITGB3; PRKAR2B; LTBP1; ACVR2A; RUNX1; MGLL; INSIG1; CDC42BPA; DAB2; PRKCA; INPP4B; GRK5; NOTCH2; PDLIM5; IGF1R; ATP2C1; ATP2B4; ABCC1; NFIB; MAP1B; PLCB4; ADD3; CELF2; DLG1; SRI,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_UV_RESPONSE_UP,0.989654361627087,0.997828447339848,0.00625622812219806,-0.171875667591036,-0.595674361760373,73,IL6ST; CDC34; CA2; TUBA4A; TMBIM6; GRINA; FURIN; CASP3; BSG; PRKCD; SOD2; MGAT1; CCND3; GLS; SQSTM1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0926876202694035,0.363674629064506,0.0837037443963104,0.461674666253551,1.38949600421174,16,PPARD; NCOR2; RBPJ; TP53; CTNNB1; MAML1; CCND2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_XENOBIOTIC_METABOLISM,0.18326458456099,0.421035843865875,0.0805924900764779,0.272472629870485,1.15825998293992,62,LCAT; IGFBP4; AQP9; PDK4; JUP; IRF8; PPARD; CNDP2; ID2; CYFIP2; MCCC2; AHCY; GART; ECH1; DDAH2; LPIN2; GCLC; HMOX1,blood_cfrna,I4,human,log2FoldChange_I4,5344
