"pathway","pval","padj","log2err","ES","NES","size","Cell_Type","mission","comparison","leadingEdge_str","sheet"
"HALLMARK_ALLOGRAFT_REJECTION",0.0183545116159671,0.122808468408865,0.119991298354729,-0.474489887876074,-1.68046217418145,30,"B Cell","I4","FP1_R1_vs_preflight","RPS19;RPL39;B2M;RPL9;RPS9;RPS3A;HLA-DRA;CD79A;CD74;HLA-A;LTB","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.337496097408679,0.669594924353343,0.0414508753284105,0.331005884836899,1.10357583679316,12,"B Cell","I4","FP1_R1_vs_preflight","SYK;VCAN;RASA1;PTEN;SKAP2","I4-FP1"
"HALLMARK_COMPLEMENT",0.636122959258715,0.837173579109063,0.0165278713214594,-0.3,-0.850077488720428,12,"B Cell","I4","FP1_R1_vs_preflight","PFN1;CALM1;IRF1;TNFAIP3;IRF2;USP15;L3MBTL4;CR1;S100A9;KYNU;JAK2;CTSS","I4-FP1"
"HALLMARK_HYPOXIA",0.760847183409325,0.837173579109063,0.0139378909314475,-0.263420383613384,-0.746425793932791,12,"B Cell","I4","FP1_R1_vs_preflight","CXCR4;BTG1;KLF6;S100A4;TNFAIP3;MIF;GAPDH","I4-FP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.773368729914769,0.837173579109063,0.0129593686499799,-0.237237091572145,-0.742280499951258,18,"B Cell","I4","FP1_R1_vs_preflight","LTB;CD83;SNX9;KLF6;CDC42SE2;CD79B;AHNAK;SELL;MYO1E;ALCAM","I4-FP1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.781362007168459,0.837173579109063,0.0137741315709959,-0.265418567689804,-0.732780373120664,11,"B Cell","I4","FP1_R1_vs_preflight","CD69;KLF6;NFKBIA;IRF1;NFKB1;SELL;PDE4B","I4-FP1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.401756954612006,0.669594924353343,0.0234633358947609,-0.367750391401869,-1.05998948211713,13,"B Cell","I4","FP1_R1_vs_preflight","B2M;HLA-C;CD74","I4-FP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.371443694587799,0.669594924353343,0.0230975742674363,-0.318786923375897,-1.08463586800168,25,"B Cell","I4","FP1_R1_vs_preflight","B2M;HLA-B;CD74;HLA-A;BTG1;CD69;PELI1;NFKBIA;HLA-DRB1;IRF1;NFKB1;TNFAIP3","I4-FP1"
"HALLMARK_KRAS_SIGNALING_UP",0.0327489249090308,0.122808468408865,0.144645572264101,0.449769333510832,1.64244171937843,15,"B Cell","I4","FP1_R1_vs_preflight","HDAC9;BIRC3;IKZF1;ST6GAL1;ETS1;DOCK2;PPBP;MAP3K1;RABGAP1L;CTSS","I4-FP1"
"HALLMARK_MITOTIC_SPINDLE",0.107836787564767,0.28122356921342,0.0777921919210674,0.397360224920499,1.40690298901727,14,"B Cell","I4","FP1_R1_vs_preflight","NOTCH2;TRIO;CNTRL;RASA1;DOCK2;NEDD9;NCK2;AKAP13;SOS1;NIN;CEP192;ABI1;CLASP1","I4-FP1"
"HALLMARK_MYC_TARGETS_V1",1.17448113980293e-08,1.76172170970439e-07,0.747739663149885,-0.810884353741497,-2.5017103097372,17,"B Cell","I4","FP1_R1_vs_preflight","RPS2;RPL34;RPS3;RPL18;RPS6;RPS5;RPL14;RPLP0;RACK1;RPL6;EEF1B2;RPL22;RPS10;PABPC1;DDX21;HSP90AB1;PPIA","I4-FP1"
"HALLMARK_P53_PATHWAY",0.0280923665244889,0.122808468408865,0.103526179501938,-0.583914305149589,-1.65457468716499,12,"B Cell","I4","FP1_R1_vs_preflight","RPS12;RPL18;RPL36;RACK1;BTG1;HINT1;S100A4","I4-FP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.932198327359618,0.932198327359618,0.011195805791729,-0.200323116697474,-0.55306171484516,11,"B Cell","I4","FP1_R1_vs_preflight","CXCR4;PFN1;CFL1","I4-FP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.112489427685368,0.28122356921342,0.0490075527572982,-0.455682808310586,-1.40585568615375,17,"B Cell","I4","FP1_R1_vs_preflight","EIF1;BTG1;CD83;CD69;KLF6;JUNB;NFKBIA;IRF1;RELB;NFKB1;TNFAIP3;SMAD3","I4-FP1"
"HALLMARK_UV_RESPONSE_DN",0.511470985155196,0.767206477732794,0.0341359210637563,0.254533306397618,0.956544793230759,16,"B Cell","I4","FP1_R1_vs_preflight","NOTCH2;PTEN;RUNX1;CELF2;PRKCE;GCNT1;ATP2B1;NEK7;CDK13;ADD3;LAMC1;MAP2K5;ATRX;MAPK14;SMAD3;NFKB1","I4-FP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.111459211953247,0.264540205604844,0.0452019785026896,-0.456247179823029,-1.39303330720733,24,"CD4+ T Cell","I4","FP1_R1_vs_preflight","RPL39;RPS19;RPS3A;RPL9;RPS9;B2M;LTB;HLA-A","I4-FP1"
"HALLMARK_ANDROGEN_RESPONSE",0.482003710575139,0.783256029684601,0.0373466999137554,0.298175650609069,0.981889728171664,11,"CD4+ T Cell","I4","FP1_R1_vs_preflight","INPP4B;TNFAIP8;CDK6;ARID5B;IQGAP2;ANKH;CCND3;FKBP5","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.937256430241621,0.957375285733495,0.0256415199432076,0.168902005451748,0.574599718979697,12,"CD4+ T Cell","I4","FP1_R1_vs_preflight","FYB1;RASA1;PTPRC","I4-FP1"
"HALLMARK_COMPLEMENT",0.957375285733495,0.957375285733495,0.00917720774642901,-0.19430150737282,-0.507637300419241,12,"CD4+ T Cell","I4","FP1_R1_vs_preflight","PFN1;TNFAIP3;CALM1","I4-FP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0643024162120031,0.229298690325306,0.111555069436528,0.443363185551561,1.50830868551558,12,"CD4+ T Cell","I4","FP1_R1_vs_preflight","BCL2;ADD3;IGF1R;RETREG1;AFF1;IL6ST;FKBP5;BCL11B;MED13L","I4-FP1"
"HALLMARK_HYPOXIA",0.742601898380793,0.877620425359119,0.0135331094635451,-0.311366486090466,-0.775076088093902,10,"CD4+ T Cell","I4","FP1_R1_vs_preflight","S100A4;BTG1;TNFAIP3;CXCR4","I4-FP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.598692276256641,0.855129756622294,0.0348294155746012,0.251996339911303,0.888984861546915,13,"CD4+ T Cell","I4","FP1_R1_vs_preflight","BCL2;ITGA6;IGF1R;IKZF2","I4-FP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.212413975648491,0.394483097632912,0.0330012224657746,-0.474045338490693,-1.26314169032597,13,"CD4+ T Cell","I4","FP1_R1_vs_preflight","B2M;HLA-B;HLA-A;BTG1;TNFAIP3;CD69;STAT3;PELI1","I4-FP1"
"HALLMARK_KRAS_SIGNALING_UP",0.122095479509928,0.264540205604844,0.0837037443963104,0.378209293908778,1.37768853242975,14,"CD4+ T Cell","I4","FP1_R1_vs_preflight","ETS1;IKZF1;IL7R;ST6GAL1;PPBP;CTSS","I4-FP1"
"HALLMARK_MYC_TARGETS_V1",3.22893890695932e-06,4.19762057904712e-05,0.627256739718528,-0.752043162822865,-2.21334806720655,20,"CD4+ T Cell","I4","FP1_R1_vs_preflight","RPS2;RPL34;RPS3;RPL18;RPS6;RPS5;RPL14;RPL6;RACK1;RPLP0;EEF1B2;RPL22;PABPC1;RPS10","I4-FP1"
"HALLMARK_P53_PATHWAY",0.0281895182636316,0.183231868713605,0.0979108420486795,-0.609194586717346,-1.6232605143921,13,"CD4+ T Cell","I4","FP1_R1_vs_preflight","RPS12;RPL18;RPL36;RACK1;S100A4;BTG1;HINT1","I4-FP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.657792120478688,0.855129756622294,0.0147438397857843,-0.322988407063369,-0.843848126786563,12,"CD4+ T Cell","I4","FP1_R1_vs_preflight","EIF1;BTG1;JUNB;TNFAIP3;CD69","I4-FP1"
"HALLMARK_UV_RESPONSE_DN",0.0705534431770173,0.229298690325306,0.110871775183071,0.415646202291853,1.51405852703233,14,"CD4+ T Cell","I4","FP1_R1_vs_preflight","RUNX1;INPP4B;NEK7;ADD3;IGF1R;CELF2;PRKCA;PTEN;SYNE1","I4-FP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.0366596392597798,0.117310845631295,0.0803258897498862,-0.485074289722534,-1.56918056476561,27,"CD8+ T Cell","I4","FP1_R1_vs_preflight","RPS19;RPL39;B2M;RPL9;RPS3A;RPS9;CCL5;HLA-A;CD3D;LTB;SRGN;GZMA;HLA-E;CD7","I4-FP1"
"HALLMARK_ANDROGEN_RESPONSE",0.910318746623447,0.970964304741609,0.0100351817285282,-0.216203264346755,-0.58296025975666,12,"CD8+ T Cell","I4","FP1_R1_vs_preflight","B2M","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.970964304741609,0.970964304741609,0.00879791110966886,-0.173215623225412,-0.477612987108414,13,"CD8+ T Cell","I4","FP1_R1_vs_preflight","PFN1;ACTB","I4-FP1"
"HALLMARK_COMPLEMENT",0.525328083989501,0.732686238313583,0.0176604286519966,-0.341660148393847,-0.958883031345012,14,"CD8+ T Cell","I4","FP1_R1_vs_preflight","PFN1;CCL5;CALM1;TNFAIP3;GZMA","I4-FP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.173947895791583,0.347895791583166,0.0677730323030541,0.356310058757887,1.28211198840379,13,"CD8+ T Cell","I4","FP1_R1_vs_preflight","BCL2;ADD3;FKBP5;IGF1R;RETREG1;AFF1;BCL11B","I4-FP1"
"HALLMARK_HYPOXIA",0.610532166180353,0.732686238313583,0.0162975995691388,-0.34423187091815,-0.885003278126107,10,"CD8+ T Cell","I4","FP1_R1_vs_preflight","S100A4;CXCR4;BTG1;TNFAIP3;MIF;GAPDH","I4-FP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.620841683366734,0.732686238313583,0.0337044940604929,0.242615747923952,0.873005269829378,13,"CD8+ T Cell","I4","FP1_R1_vs_preflight","BCL2;IKZF2;ITGA6;IGF1R;PRKCH;TTC39B;AHNAK;CCND3;RABGAP1L;LCLAT1","I4-FP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.225790390838935,0.401405139269217,0.0306525980581054,-0.415017816164151,-1.24912701638074,19,"CD8+ T Cell","I4","FP1_R1_vs_preflight","B2M;HLA-B;CCL5;HLA-A;BTG1;TNFAIP3;GZMA","I4-FP1"
"HALLMARK_KRAS_SIGNALING_UP",0.0904193920738746,0.21282911009729,0.0931001287011121,0.420747826771787,1.47035555050841,12,"CD8+ T Cell","I4","FP1_R1_vs_preflight","ETS1;IKZF1;IL7R;DOCK2;CTSS;ST6GAL1;PPBP","I4-FP1"
"HALLMARK_MITOTIC_SPINDLE",0.0931127356675645,0.21282911009729,0.0917080492176841,0.419088945252036,1.4645583829534,12,"CD8+ T Cell","I4","FP1_R1_vs_preflight","ARHGEF3;RASA1;DOCK2;NCK2;CNTRL;RAPGEF6","I4-FP1"
"HALLMARK_MYC_TARGETS_V1",5.8946727072868e-06,9.43147633165887e-05,0.610526878385931,-0.730534912358904,-2.19877523300328,19,"CD8+ T Cell","I4","FP1_R1_vs_preflight","RPS2;RPS3;RPL34;RPL18;RPS6;RPS5;RPL14;RPL6;RACK1;RPLP0;EEF1B2;RPL22;RPS10;PABPC1","I4-FP1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00236615965248574,0.0189292772198859,0.431707695803346,-0.719219219219219,-1.84907738206395,10,"CD8+ T Cell","I4","FP1_R1_vs_preflight","COX4I1;COX7C;UQCRB;ATP5MG;ATP5F1E;COX6A1;ATP6V1G1;SLC25A6;COX6C;NDUFA4","I4-FP1"
"HALLMARK_P53_PATHWAY",0.0131233595800525,0.0699912510936133,0.143909619745855,-0.606673499132753,-1.70265372364855,14,"CD8+ T Cell","I4","FP1_R1_vs_preflight","RPS12;RPL18;RPL36;RACK1;S100A4;BTG1;HINT1","I4-FP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.641100458524385,0.732686238313583,0.0155891309703452,-0.333179256068695,-0.856587546754274,10,"CD8+ T Cell","I4","FP1_R1_vs_preflight","PFN1;CXCR4;CFL1","I4-FP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.388145315487572,0.621032504780115,0.0228989743073895,-0.409517203954825,-1.08218228576742,11,"CD8+ T Cell","I4","FP1_R1_vs_preflight","EIF1;CCL5;BTG1;JUNB;TNFAIP3","I4-FP1"
"HALLMARK_UV_RESPONSE_DN",0.0293624161073825,0.117310845631295,0.172450317477257,0.463424056577029,1.72477298794405,14,"CD8+ T Cell","I4","FP1_R1_vs_preflight","RUNX1;NEK7;INPP4B;ADD3;SYNE1;IGF1R;CELF2;PTEN;BCKDHB;MAP2K5","I4-FP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.0202210499874403,0.121326299924642,0.112959561756547,-0.434471837365013,-1.66033554106058,37,"Other T Cell","I4","FP1_R1_vs_preflight","B2M;RPS19;RPL39;RPL9;HLA-A;RPS9;CCL5;RPS3A;GZMA;CD3D;LTB;SRGN","I4-FP1"
"HALLMARK_ANDROGEN_RESPONSE",0.734332833583208,0.884491384102279,0.0253363829372155,0.223067042630793,0.788053912190166,13,"Other T Cell","I4","FP1_R1_vs_preflight","TNFAIP8;INPP4B;IQGAP2;STK39;FKBP5;CCND3;PTK2B;CDK6;ARID5B;RPS6KA3","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.948055634402498,0.948055634402498,0.0101724635347669,-0.16538871862502,-0.531875350743483,18,"Other T Cell","I4","FP1_R1_vs_preflight","PFN1;ACTB","I4-FP1"
"HALLMARK_COMPLEMENT",0.273064760071497,0.559910466015161,0.0289854798089291,-0.355060138132185,-1.19193403622587,21,"Other T Cell","I4","FP1_R1_vs_preflight","PFN1;CCL5;TNFAIP3;CALM1;GZMA;GZMK","I4-FP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.303284835758212,0.559910466015161,0.0286616399503485,-0.393193572594577,-1.15776620755608,13,"Other T Cell","I4","FP1_R1_vs_preflight","IL32;TNFAIP3;EMP3;PPIB;JUN;VIM;TGFB1;FLNA","I4-FP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0813424345847554,0.22387530995395,0.0841553633643137,0.439964727724975,1.46096293100042,11,"Other T Cell","I4","FP1_R1_vs_preflight","BCL2;MYBL1;AFF1;ADD3;MED13L;FKBP5;JAK2;RASGRP1","I4-FP1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.575855013154049,0.884491384102279,0.0291320130936677,0.264111464735057,0.908368880877257,12,"Other T Cell","I4","FP1_R1_vs_preflight","BCL2;AFF1;ADD3;FKBP5;S100A9;JAK2","I4-FP1"
"HALLMARK_FATTY_ACID_METABOLISM",0.905996252342286,0.945387393748472,0.0122734446915028,-0.217663783884874,-0.592939099963799,10,"Other T Cell","I4","FP1_R1_vs_preflight","HSP90AA1;S100A10;MIF;PSME1","I4-FP1"
"HALLMARK_HEME_METABOLISM",0.843287827076223,0.945387393748472,0.0222254655651192,0.206188063861254,0.684675609505545,11,"Other T Cell","I4","FP1_R1_vs_preflight","NEK7;KAT2B;CCND3;PICALM;LPIN2;DCAF10;USP15;AGPAT4;EPB41;NNT","I4-FP1"
"HALLMARK_HYPOXIA",0.0822711471610661,0.22387530995395,0.0588173707216382,-0.485748726611307,-1.49468721844132,15,"Other T Cell","I4","FP1_R1_vs_preflight","S100A4;CXCR4;TNFAIP3;BTG1;FOS;DUSP1;GAPDH;MIF;KLF6;JUN;ZFP36","I4-FP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.616185359301545,0.884491384102279,0.0304375369003548,0.223043803585427,0.876198196753008,17,"Other T Cell","I4","FP1_R1_vs_preflight","IKZF2;BCL2;RABGAP1L;AHNAK;CCND3;PRKCH","I4-FP1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.88496583143508,0.945387393748472,0.0112579311272932,-0.194943179288246,-0.61953736200568,17,"Other T Cell","I4","FP1_R1_vs_preflight","CCL5;NFKBIA;EMP3;CD69;KLF6;CD48;LY6E","I4-FP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0727535850545981,0.22387530995395,0.0596578256057473,-0.410979584546298,-1.47533773811562,28,"Other T Cell","I4","FP1_R1_vs_preflight","B2M;HLA-B;HLA-A;CCL5;TNFAIP3;GZMA;BTG1;IFITM2;NFKBIA","I4-FP1"
"HALLMARK_KRAS_SIGNALING_UP",0.286769644056414,0.559910466015161,0.0472281823651549,0.292475502409658,1.14895147807871,17,"Other T Cell","I4","FP1_R1_vs_preflight","ETS1;IKZF1;IL7R;DOCK2;RABGAP1L;NIN;ST6GAL1;CTSS","I4-FP1"
"HALLMARK_MITOTIC_SPINDLE",0.0839532412327311,0.22387530995395,0.0926961428741135,0.340460494777407,1.43177390593985,20,"Other T Cell","I4","FP1_R1_vs_preflight","ARHGEF3;RASA1;SSH2;DOCK2;NEDD9;CNTRL;NCK2;NIN","I4-FP1"
"HALLMARK_MTORC1_SIGNALING",0.675983760149906,0.884491384102279,0.016514410681541,-0.301838721653381,-0.822240506698353,10,"Other T Cell","I4","FP1_R1_vs_preflight","CXCR4;PPIA;GAPDH;CORO1A","I4-FP1"
"HALLMARK_MYC_TARGETS_V1",1.89837671814642e-07,4.55610412355141e-06,0.690132458796796,-0.743903248804882,-2.49727724034017,21,"Other T Cell","I4","FP1_R1_vs_preflight","RPS2;RPS3;RPL34;RPL18;RPS6;RPS5;RPL14;RPL6;RPLP0;RACK1;RPL22;RPS10;EEF1B2;PPIA;PABPC1;HSP90AB1","I4-FP1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.39199641815933e-05,0.00028703957017912,0.575610261071129,-0.707656612529002,-2.21450397582589,16,"Other T Cell","I4","FP1_R1_vs_preflight","COX4I1;COX7C;ATP5F1E;ATP6V1G1;NDUFA4;COX6A1;ATP5MG;SLC25A6;COX6C;ATP5MC2;COX8A;UQCRB;UQCR11;NDUFA1;NDUFC2;NNT","I4-FP1"
"HALLMARK_P53_PATHWAY",0.0161835068955812,0.121326299924642,0.134050934338562,-0.531293588594261,-1.73295820685237,19,"Other T Cell","I4","FP1_R1_vs_preflight","RPS12;RPL18;S100A4;RPL36;BTG1;RACK1;FOS","I4-FP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.676709154113557,0.884491384102279,0.0154084290873266,-0.264995721167494,-0.815412775518478,15,"Other T Cell","I4","FP1_R1_vs_preflight","PFN1;CXCR4;CFL1","I4-FP1"
"HALLMARK_PROTEIN_SECRETION",0.737076153418566,0.884491384102279,0.0240177315528777,0.241935483870968,0.771275454887318,10,"Other T Cell","I4","FP1_R1_vs_preflight","PAM;ADAM10;RPS6KA3;AP3B1;DOP1A;GALC;SGMS1;USO1;ARFGEF1;CD63","I4-FP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.029814337986177,0.14310882233365,0.0963025229566543,-0.471467679101059,-1.63064565490747,24,"Other T Cell","I4","FP1_R1_vs_preflight","EIF1;CCL5;TNFAIP3;BTG1;FOS;JUNB;DUSP1;NFKBIA;DUSP2;NR4A2;CD69;KLF6;JUN;RELB;ZFP36;PER1","I4-FP1"
"HALLMARK_UV_RESPONSE_DN",0.124478178368121,0.298747628083491,0.0784040413719235,0.308908963768584,1.36356911346526,23,"Other T Cell","I4","FP1_R1_vs_preflight","RUNX1;INPP4B;SYNE1;NEK7;CELF2;ADD3;ATXN1;PTEN;SMAD3;ATRX;TGFBR3;PTPRM;CDK13;MAP2K5;AKT3","I4-FP1"
"HALLMARK_UV_RESPONSE_UP",0.447064334790756,0.766396002498438,0.022781336708526,-0.368407183128444,-1.00358001540539,10,"Other T Cell","I4","FP1_R1_vs_preflight","BTG1;FOS;JUNB;NFKBIA;DDX21","I4-FP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.00327237728585178,0.0185434712864934,0.354819512103747,-0.44435020911446,-1.93504601023571,26,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","B2M;HLA-A;RPS19;HLA-DRA;RPL39;HLA-E;RPL9;RPS9;CD74;RPS3A;SRGN","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.308664627930683,0.480308643776073,0.0341624934182991,0.319927476172834,1.12588094789634,13,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","VCAN;SKAP2;PTPRC;FYB1;PTEN;MAPK14;RASA1","I4-FP1"
"HALLMARK_APOPTOSIS",0.389150460593654,0.480308643776073,0.0297832610562438,0.30760035893764,1.05299976964659,12,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","DPYD;CD44","I4-FP1"
"HALLMARK_COMPLEMENT",0.22440537745605,0.476861427094105,0.0413650845498529,0.297453727327542,1.21704730739355,20,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","CD36;USP15;JAK2;KYNU;CPQ","I4-FP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.31371359223301,0.480308643776073,0.0336787638082654,0.337723233629389,1.12382477762194,11,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","VCAN;CD44;NOTCH2;SNTB1;IL15","I4-FP1"
"HALLMARK_HYPOXIA",0.484878434473216,0.549528892402978,0.0253090075669071,-0.298740831853774,-0.974008765048627,11,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","S100A4;BTG1;GAPDH;DUSP1;FOS;MAP3K1","I4-FP1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0355257815671945,0.150984571660577,0.108256440008936,0.506548439778781,1.61874889248201,10,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","CD36;TLR2;CD44","I4-FP1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.203955500618047,0.476861427094105,0.0435353717179313,0.309428632884455,1.24493323102153,19,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","TLR2;ATP2B1;AHR;RNF144B;SGMS2;CYBB;IL15;CD55;AQP9","I4-FP1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0553585500394011,0.188219070133964,0.0849239419737563,-0.500131252073224,-1.576310882135,10,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","B2M;HLA-C;CD74;IFI30;IRF1;TXNIP","I4-FP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0836434867776689,0.236989879203395,0.0683519284059275,-0.392025111654074,-1.48220988750492,17,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","B2M;HLA-B;HLA-A;CD74;NFKBIA;IFI30;BTG1;IRF1;TXNIP","I4-FP1"
"HALLMARK_KRAS_SIGNALING_UP",0.908297829174275,0.932611803144783,0.0160258554404533,0.166910688140556,0.621735473978881,15,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","HDAC9;EVI5;PPBP;DOCK2;F13A1;IKZF1;ADAM17;SDCCAG8;AVL9;RABGAP1L","I4-FP1"
"HALLMARK_MITOTIC_SPINDLE",0.395548294874413,0.480308643776073,0.0294394834013929,0.271310750858446,1.05075177590258,17,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","FGD4;SSH2;AKAP13;NOTCH2;RASA1;CCDC88A;NEDD9;DOCK2;APC;ITSN1;NF1;CNTRL;TIAM1;TRIO;PDLIM5;SOS1;FLNA","I4-FP1"
"HALLMARK_MYC_TARGETS_V1",2.44134538379328e-08,4.15028715244858e-07,0.73376198835648,-0.805709393601502,-2.8577208827859,14,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","RPS2;RPL34;RPS3;RPL18;RPS6;RPL14;RPS5;RPL6;RACK1;RPLP0;EIF4A1;RPL22;PABPC1","I4-FP1"
"HALLMARK_P53_PATHWAY",0.00250146604626449,0.0185434712864934,0.431707695803346,-0.555295615672458,-2.06581666675594,16,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","RPS12;S100A4;RPL18;RPL36;IFI30;RACK1;BTG1;SAT1;CTSD;FOS;TXNIP","I4-FP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.932611803144783,0.932611803144783,0.015737355899145,0.151248164464023,0.585764762029263,17,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","PLCB1;PTEN;ITPR2;GSK3B;VAV3;MAPK1;DAPP1;RPS6KA3;PRKCB;MAPKAP1;CAB39;SMAD2;TIAM1;YWHAB;SQSTM1;PFN1;CFL1","I4-FP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.268148450244698,0.480308643776073,0.0370845733682492,0.295842344492064,1.17005755308839,18,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","TLR2;ATP2B1;CD44;KYNU","I4-FP1"
"HALLMARK_UV_RESPONSE_DN",0.364845508491917,0.480308643776073,0.0309764734970582,0.283360502664852,1.07656473555791,16,"CD14+ Monocyte","I4","FP1_R1_vs_preflight","ATP2B1;PTEN;MAPK14;NOTCH2;SIPA1L1;ATXN1;RUNX1;FYN;LPAR1;NEK7","I4-FP1"
"HALLMARK_ADIPOGENESIS",0.248221127531472,0.496442255062945,0.0306525980581054,-0.381214502161474,-1.2096579751241,19,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","UBC;COX8A;COX6A1;SOD1;APLP2;UQCR11;TKT;COX7B;NDUFB7;GPX4;ATP5PO;TALDO1;CHCHD10;UQCR10;ATP1B3","I4-FP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.0120812056295927,0.063952773336613,0.146151534304949,-0.463130601932313,-1.6848980307302,34,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","B2M;RPS19;RPS9;HLA-A;RPL39;RPS3A;HLA-DRA;RPL9;CD74;HLA-E;SRGN;FLNA;TIMP1","I4-FP1"
"HALLMARK_ANDROGEN_RESPONSE",0.517455621301775,0.797413793103448,0.0196716910524353,-0.342030920637212,-0.958981484918811,12,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","B2M;MYL12A","I4-FP1"
"HALLMARK_APICAL_JUNCTION",0.668145056091834,0.863790104367994,0.0140809028191376,-0.248870706787273,-0.845007317950178,25,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","ACTB;PFN1;ACTG1;GNAI2;MYL12B","I4-FP1"
"HALLMARK_APOPTOSIS",0.572112753147236,0.810382146589043,0.0170220185185196,-0.289874868307518,-0.919821896197723,19,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","IFITM3;TSPO;TIMP1;SOD1;ANXA1;LGALS3;BID;SQSTM1;IRF1;TXNIP;SOD2;GPX4","I4-FP1"
"HALLMARK_COAGULATION",0.209013914095584,0.482339801759039,0.0360343478517525,-0.475628176908282,-1.26951869988485,10,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","CFD;SERPINA1;TIMP1;ANXA1;RAC1;C1QA;GNB2","I4-FP1"
"HALLMARK_COMPLEMENT",0.232286432160804,0.496442255062945,0.0302960517152991,-0.342221215813453,-1.22201644023201,31,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","PFN1;FCER1G;SERPINA1;CALM1;GNAI2;TIMP1;RHOG;CEBPB;S100A9;CTSS;PSMB9","I4-FP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.313165680473373,0.587185650887574,0.0278437578519039,-0.410871027733223,-1.1519944090191,12,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","LGALS1;EMP3;VIM;FLNA;TIMP1;ID2","I4-FP1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.861538461538462,0.88527397260274,0.0122181057177976,-0.230447452981636,-0.646125327629352,12,"CD16+ Monocyte","I4","FP1_R1_vs_preflight","SERPINA1;S100A9;ID2;COX6C","I4-FP1"
