source_id,glds_prefix,mission,tissue,task_ids,api_url,api_status,api_response_sha256,n_files,checksum_manifest_count,checksum_manifest_files,checksum_manifest_urls,parsed_checksum_entries,checksum_algorithms,checksum_payload_matches,checksum_manifest_content_sha256,audit_status,freeze_ready,pending_reason
OSD-100,GLDS-100,RR-1,eye,A6_eye_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/files/,ok,d759a8e4a8ae50e2a6982b0e5a27fc88b09adb64bd1db4405865fd9d6c9193a6,251,2,GLDS-100_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-100_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=GLDS-100_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=GLDS-100_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,223,md5,222,2ce7eefd3b365348e0f19f46893df320c3fb67267051e25cce3f0a0db7b2e349;d780b9082713ef546e9e86557a943ff5c73e696e2252934b02a8d596012df84d,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-101,GLDS-101,RR-1,gastrocnemius,A2_gastrocnemius_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,ok,8e5d3f3b696d42c828d3e24f107583e6beffc64b9d61408037f57b447817d833,268,2,GLDS-101_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-101_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=GLDS-101_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=GLDS-101_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,224,md5,223,911730cdab7a50de12a42d564737829ecca628352709ebc971c30bfdde4af71d;f45e698cdce51796bb09ce96fb2623af7f88254a130b3d7fbbc7389442564ae8,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-102,GLDS-102,RR-1,kidney,A3_kidney_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-102/files/,ok,a46aa14858f7d6d724d17f5fa609c51adc0a4efa4a020c9f8a5d1e933cc17014,268,2,GLDS-102_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-102_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-102/download?source=datamanager&file=GLDS-102_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-102/download?source=datamanager&file=GLDS-102_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,224,md5,223,058a75ff7d3f005953e82c8e57b0c1de45b7e5a202d4a474ce4f8a854ed3ebb6;c4aa9eff2eb585f86ae1e6bfb882dcdb1cb7f97ec00816fc79b2defa5ba0d492,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-137,GLDS-137,RR-3,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-137/files/,ok,881b04dd50e452984a6253b19dcb4a02dd043f2a94006a8ee0c6bc12ebff2749,414,1,GLDS-137_rna_seq_processed_md5sum.txt,https://osdr.nasa.gov/geode-py/ws/studies/OSD-137/download?source=datamanager&file=GLDS-137_rna_seq_processed_md5sum.txt,25,md5,24,665efd521d70944ce4f9f24c39116041c451b441f1e62f0a967945e256243f66,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-163,GLDS-163,RR-3,kidney,A3_kidney_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-163/files/,ok,54f50b38f61339328fc63d0f1f192bd8978ed470306e9feef2b3179fa4a64cc2,361,2,GLDS-163_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-163_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-163/download?source=datamanager&file=GLDS-163_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-163/download?source=datamanager&file=GLDS-163_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,321,md5,320,a7cc5b4eb220cdc67ac42601f5d7ae0cb449bc853d043e992a306d9ed3ff1e52;c12f58c4fe240dc03187a4e10bb3d76571668503de6257e35e12c9af7182da4c,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-194,GLDS-194,RR-3,eye,A6_eye_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-194/files/,ok,60f22f537db4b8a33e2be344c8d798a0fec656aca4e9838acc24549845f04eee,294,1,GLDS-194_rna_seq_processed_md5sum.txt,https://osdr.nasa.gov/geode-py/ws/studies/OSD-194/download?source=datamanager&file=GLDS-194_rna_seq_processed_md5sum.txt,27,md5,26,a8ec966be1dc267e1c952696a8a939934c63441e7dfb9f5a44bbfc19b5b761fd,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-238,GLDS-238,MHU-2 (dorsal),skin,A5_skin_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-238/files/,ok,a69e3c0810ac7ddafe5b8cdd3391ba6daff974c4ae2239c77d831c2f040874e0,500,1,GLDS-238_rna_seq_md5sum.txt,https://osdr.nasa.gov/geode-py/ws/studies/OSD-238/download?source=datamanager&file=GLDS-238_rna_seq_md5sum.txt,62,md5,62,1e905ea399b37af3a14343d117d6fccd01fb4997d279ea01a934a53560a393ad,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-239,GLDS-239,MHU-2 (femoral),skin,A5_skin_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-239/files/,ok,b16f0511374ced1877b3920b1e11491bcb67e3bf02232ade51cd06754e8049d9,476,1,GLDS-239_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-239/download?source=datamanager&file=GLDS-239_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,60,md5,54,f1963816e7774e800f9d35bbc96c7daf6b1d24205c2595f5d8d33c5bfcd8c95a,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-242,GLDS-242,RR-9,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-242/files/,ok,0838071696f22a893f28fa5beafa72702368d0ced2cdb5b99288f222b9da03cd,481,1,GLDS-242_rna_seq_md5sum.txt,https://osdr.nasa.gov/geode-py/ws/studies/OSD-242/download?source=datamanager&file=GLDS-242_rna_seq_md5sum.txt,60,md5,60,17ee0814caa285c3b4c41bb6c959b38f99e57dd3cb637b797095f97570bdb565,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-243,GLDS-243,RR-6,skin,A5_skin_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-243/files/,ok,6eaad9f4e034898b3e816fbb139876184aabdcbbb1c2fca076b8cf9d5c59b403,1076,1,GLDS-243_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-243/download?source=datamanager&file=GLDS-243_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,120,md5,114,b41bc9d523df2184975238c3f43b4085ed6bfcc024c93b215c92d27b73ae7d8c,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
