sample_name,radiation,hlu,timepoint,condition_raw,tissue,osd_id,group
Mmus_C57-6J_DSKN_HLLC_IRC_Rep1_M22,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IRC_Rep2_M25,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IRC_Rep3_M2,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IRC_Rep4_M12,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IRC_Rep5_M18,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IRC_Rep6_M21,0,0,,Hindlimb.Loaded.Control...Non.irradiated.,skin_rad,OSD-237,NL_Ctrl
Mmus_C57-6J_DSKN_HLLC_IR_Rep1_M14,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLLC_IR_Rep2_M23,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLLC_IR_Rep3_M24,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLLC_IR_Rep4_M1,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLLC_IR_Rep5_M7,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLLC_IR_Rep6_M13,1,0,,Hindlimb.Loaded.Control...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,NL_Rad
Mmus_C57-6J_DSKN_HLU_IRC_Rep1_M10,0,1,,Hindlimb.Unloaded...Non.irradiated.,skin_rad,OSD-237,HLU_Ctrl
Mmus_C57-6J_DSKN_HLU_IRC_Rep2_M4,0,1,,Hindlimb.Unloaded...Non.irradiated.,skin_rad,OSD-237,HLU_Ctrl
Mmus_C57-6J_DSKN_HLU_IRC_Rep3_M8,0,1,,Hindlimb.Unloaded...Non.irradiated.,skin_rad,OSD-237,HLU_Ctrl
Mmus_C57-6J_DSKN_HLU_IR_Rep1_M11,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
Mmus_C57-6J_DSKN_HLU_IR_Rep2_M15,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
Mmus_C57-6J_DSKN_HLU_IR_Rep3_M17,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
Mmus_C57-6J_DSKN_HLU_IR_Rep4_M3,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
Mmus_C57-6J_DSKN_HLU_IR_Rep5_M9,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
Mmus_C57-6J_DSKN_HLU_IR_Rep6_M19,1,1,,Hindlimb.Unloaded...Irradiated.with.0.04.Gy.57Co,skin_rad,OSD-237,HLU_Rad
